Sample_ID	Fish001	Fish002	Fish003	Fish004	Fish005	Fish006	Fish007	Fish008	Fish009	Fish010	Fish011	Fish012	Fish013	Fish014	Fish015	Fish016	Fish017	Fish018	Fish019	Fish020	Fish021	Fish022	Fish023	Fish024	Fish025	Fish026	Fish027	Fish028	Fish029	Fish030	Fish031	Fish032	Fish033	Fish034	Fish035	Fish036	Fish037	Fish038	Fish039	Fish040	Fish041	Fish042	Fish043	Fish044	Fish045	Fish046	Fish047	Fish048	Fish049	Fish050	Fish051	Fish052	Fish053	Fish054	Fish055	Fish056	Fish057	Fish058	Fish059	Fish060	Fish061	Fish062	Fish063	Fish064	Fish065	Fish066	Fish067	Fish068	Fish069	Fish070	Fish071	Fish072	Fish073	Fish074	Fish075	Fish076	Fish077	Fish078	Fish079	Fish080	Fish081	Fish082	Fish083	Fish084	Fish085	Fish086	Fish087	Fish088	Fish089	Fish090	Fish091	Fish092	Fish093	Fish094	Fish095	Fish096	Fish097	Fish098	Fish099	Fish100	Fish101	Fish102	Fish103	Fish104	Fish105	Fish106	Fish107	Fish108	Fish109	Fish110	Fish111	Fish112	Fish113
Sample001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	21	0	0	30	2	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
Sample002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	22	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0
Sample003	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	3	0
Sample004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0
Sample005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	15	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Sample006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	14	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0
Sample007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	2	0	3	0	0	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	44	20	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	2	1	0
Sample008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	2	0	1	0	0	1	4	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	28	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	2	1	0
Sample009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	9	0	0	0	9	3	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	61	41	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	4	0
Sample010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	32	0	3	0	16	0	0	2	14	0	4	0	0	3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	27	31	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	4	4	0
Sample011	0	1	0	0	0	0	0	0	0	0	0	0	0	0	463	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	60	0	2	0	18	0	0	31	23	2	3	0	0	3	0	2	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	7	38	0	1	0	0	470	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	1	0
Sample012	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	650	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	42	0	0	0	22	0	0	10	23	0	6	0	1	7	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	2	0
Sample013	0	300	0	0	0	0	0	0	0	0	0	0	0	0	47	0	1	0	0	0	4	0	0	0	0	2	0	5	0	0	1150	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	8	0	2	0	7	0	0	7	32	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	50	0	0	2	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	6	2	0
Sample014	0	302	0	0	0	0	0	0	0	1	0	0	0	0	46	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	958	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	34	0	1	0	19	0	0	30	22	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	38	16	0	2	0	0	80	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0
Sample015	0	540	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	308	0	0	0	0	0	6	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	0	2	0	14	0	0	10	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	50	0	0	43	12	0	3	0	0	0	0	0	0	0	0	70	0	1	0	0	7	0	5	0	0	0	1	5	0
Sample016	0	50	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1000	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12	0	1	0	18	0	0	2	27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	25	0	0	9	13	0	1	0	0	0	1	0	0	0	0	621	0	0	0	0	5	0	3	0	0	0	1	3	0
Sample017	0	0	0	0	0	0	0	0	0	2	0	3	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	8	0	0	0	8	0	0	1	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	3	0	1	0	0	0	1	0	0	0	204	0	0	0	0	0	5	1	3	0	0	0	0	2	0
Sample018	0	5	0	0	0	0	0	0	0	0	0	0	1	0	37	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	750	500	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	6	1	1	0	17	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	8	0	2	0	0	0	0	6	0
Sample019	0	0	0	0	0	0	0	0	0	0	3	0	0	0	38	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	930	200	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	9	0	0	33	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	50	8	0	0	0	0	5	0	2	1	0	0	1	1	0
Sample020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	1	0	7	0	0	10	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	8	0	0	10	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	7	1	0	0	0	4	0
Sample021	0	0	0	0	0	600	0	0	0	1	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	350	100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	0	1	0	5	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	47	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
Sample022	0	0	0	0	0	800	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	7	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18	12	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0
Sample023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	0
Sample024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	9	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	2	0	0	0	6	0
Sample025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	17	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0
Sample026	0	0	0	0	0	0	0	0	0	1	0	0	0	0	18	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	20	20	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	3	0
Sample027	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	21	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Sample028	0	0	0	0	0	0	0	0	0	1	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	18	35	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	1	6	0
Sample029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Sample030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0
Sample031	0	0	0	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0
Sample032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0
Sample033	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	6	0	1	2	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	42	11	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	0
Sample034	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	5	1	0	5	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	3	0
Sample035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	76	0	0	0	19	0	0	6	18	0	7	0	0	2	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	3	1	0
