Fish_ID,Order,Family,Sci_name,FishBase_name,Ja_Order,Ja_Family,Ja_name,ref,Limit_north,Limit_south,Lat_center,Trophic_level,Genus,Species,FBname,BodyShapeI,DemersPelag,Vulnerability,VulnerabilityClimate,UsedforAquaculture,UsedasBait,DepthRangeShallow,DepthRangeDeep,Importance,Length,Length_Maizuru,bikou
Fish001,Myliobatiformes,Dasyatidae,Dasyatis_akajei,Hemitrygon_akajei,トビエイ目,アカエイ科,アカエイ,226,45.52,0,22.76,3.8,Hemitrygon,akajei,Whip stingray,other,demersal,90,87.29,never/rarely,never/rarely,10,50,commercial,200,NA,NA
Fish002,Siluriformes,Plotosidae,Plotosus_japonicus,Plotosus_japonicus,ナマズ目,ゴンズイ科,ゴンズイ,241,37.52,26.06,31.79,3.5,Plotosus,japonicus,NA,elongated,benthopelagic,12.33,NA,never/rarely,never/rarely,NA,NA,NA,18.2999992370605,7.2,Plotosus_lineatus
Fish003,Anguilliformes,Ophichthidae,Ophichthus_altipennis,Ophichthus_altipennis,ウナギ目,ウミヘビ科,ホタテウミヘビ,275,38.53,0,19.265,4.1,Ophichthus,altipennis,Highfin snake eel,eel-like,demersal,72,NA,never/rarely,never/rarely,2,20,NA,120,NA,NA
Fish004,Clupeiformes,Clupeidae,Spratelloides_gracilis,Spratelloides_gracilis,ニシン目,ニシン科,キビナゴ,298,36.31,0,18.155,3.1,Spratelloides,gracilis,Silver-stripe round herring,fusiform / normal,pelagic-neritic,10,61.75,never/rarely,usually,NA,40,minor commercial,10.5,NA,NA
Fish005,Clupeiformes,Clupeidae,Sardinops_melanostictus,Sardinops_sagax,ニシン目,ニシン科,マイワシ,298,54.34,21.87,38.105,2.8,Sardinops,sagax,South American pilchard,elongated,pelagic-neritic,33.17,15.63,never/rarely,usually,0,200,commercial,20,NA,NA
Fish006,Clupeiformes,Engraulidae,Engraulis_japonicus,Engraulis_japonicus,ニシン目,カタクチイワシ科,カタクチイワシ,302,56.22,0,28.11,3.1,Engraulis,japonicus,Japanese anchovy,elongated,pelagic-neritic,22.92,NA,commercial,usually,0,400,highly commercial,18,6,NA
Fish007,Salmoniformes,Osmeridae,Plecoglossus_altivelis,Plecoglossus_altivelis,サケ目,キュウリウオ科,アユ,360,43.72,21.47,32.595,2.8,Plecoglossus,altivelis,Ayu sweetfish,elongated,demersal,48,NA,commercial,never/rarely,10,NA,highly commercial,70,NA,NA
Fish008,Aulopiformes,Synodontidae,Saurida_macrolepis,Saurida_macrolepis,ヒメ目,エソ科,マエソ,415,35.98,0,17.99,4.2,Saurida,macrolepis,NA,elongated,demersal,21.43,NA,never/rarely,never/rarely,1,100,NA,25.7600002288818,NA,NA
Fish009,Gasterosteiformes,Syngnathidae,Syngnathus_schlegeli,Syngnathus_schlegeli,ヒメ目,ヨウジウオ科,ヨウジウオ,619,45.45,19.75,32.6,3.1,Syngnathus,schlegeli,Seaweed pipefish,eel-like,demersal,20,NA,never/rarely,never/rarely,NA,15,NA,30,NA,NA
Fish010,Gasterosteiformes,Syngnathidae,Hippocampus_haema,Hippocampus_haema,ヒメ目,ヨウジウオ科,ヒメタツ,635,41.51,32.13,36.82,3.3,Hippocampus,haema,Korean seahorse,other (see remarks),reef-associated,10,NA,never/rarely,never/rarely,0,18,NA,11.3900003433228,NA,NA
Fish011,Mugiliformes,Mugilidae,Mugil_cephalus,Mugil_cephalus,ボラ目,ボラ科,ボラ,638,52.98,0,26.49,2.5,Mugil,cephalus,Flathead grey mullet,fusiform / normal,benthopelagic,42.76,59.15,commercial,occasionally,0,120,highly commercial,100,NA,NA
Fish012,Beloniformes,Hemiramphidae,Hyporhamphus_sajori,Hyporhamphus_sajori,ダツ目,サヨリ科,サヨリ,653,45.5,31,38.25,3.4,Hyporhamphus,sajori,Japanese halfbeak,elongated,pelagic-neritic,30,75.74,never/rarely,never/rarely,30,NA,commercial,40,NA,NA
Fish013,Perciformes,Sebastidae,Sebastiscus_marmoratus,Sebastiscus_marmoratus,スズキ目,メバル科,カサゴ,670,45.44,20.17,32.805,3.7,Sebastiscus,marmoratus,False kelpfish,fusiform / normal,demersal,32.92,NA,commercial,never/rarely,NA,NA,commercial,36.2000007629395,11.8,NA
Fish014,Perciformes,Sebastidae,Sebastes_thompsoni,Sebastes_thompsoni,スズキ目,メバル科,ウスメバル,676,45.44,34.07,39.755,3.7,Sebastes,thompsoni,NA,fusiform / normal,demersal,26.6,NA,never/rarely,never/rarely,40,150,commercial,30,3.4,NA
Fish015,Perciformes,Sebastidae,Sebastes_cheni,Sebastes_cheni,スズキ目,メバル科,シロメバル,677,41.24,32.6,36.92,3.9,NA,NA,NA,fusiform / normal,demersal,NA,NA,never/rarely,never/rarely,NA,NA,commercial,35.9,5.2,Sebastes_inermis
Fish016,Perciformes,Sebastidae,Sebastes_oblongus,Sebastes_oblongus,スズキ目,メバル科,タケノコメバル,678,45.44,32.58,39.01,3.7,Sebastes,oblongus,NA,fusiform / normal,demersal,32.7,NA,never/rarely,never/rarely,NA,NA,NA,35,NA,NA
Fish017,Perciformes,Sebastidae,Sebastes_pachycephalus,Sebastes_pachycephalus,スズキ目,メバル科,ムラソイ,681,45.45,31.37,38.41,3.7,Sebastes,pachycephalus,NA,short and / or deep,demersal,32.17,NA,never/rarely,never/rarely,NA,NA,commercial,42,NA,NA
Fish018,Perciformes,Scorpaenidae,Pterois_lunulata,Pterois_lunulata,スズキ目,フサカサゴ科,ミノカサゴ,687,45.45,0,22.725,3.7,Pterois,lunulata,Luna lion fish,fusiform / normal,reef-associated,25,NA,never/rarely,never/rarely,132,172,NA,35,NA,NA
Fish019,Perciformes,Scorpaenidae,Scorpaena_miostoma,Scorpaena_miostoma,スズキ目,フサカサゴ科,コクチフサカサゴ,700,36.98,21.89,29.435,3.6,Scorpaena,miostoma,NA,fusiform / normal,demersal,10,NA,never/rarely,never/rarely,NA,NA,NA,13,NA,NA
Fish020,Perciformes,Scorpaenidae,Scorpaenodes_evides,Scorpaenodes_evides,スズキ目,フサカサゴ科,イソカサゴ,703,40.88,0,20.44,4.2,Scorpaenodes,evides,Cheekspot scorpionfish,short and / or deep,demersal,10,NA,never/rarely,never/rarely,1,40,NA,10.5,NA,NA
Fish021,Perciformes,Tetrarogidae,Hypodytes_rubripinnis,Paracentropogon_rubripinnis,スズキ目,ハオコゼ科,ハオコゼ,709,41.55,21.89,31.72,3.2,Paracentropogon,rubripinnis,NA,elongated,reef-associated,24.25,NA,never/rarely,never/rarely,NA,NA,commercial,10.5,4.8,NA
Fish022,Perciformes,Synanceiidae,Inimicus_japonicus,Inimicus_japonicus,スズキ目,オニオコゼ科,オニオコゼ,710,41.55,21.38,31.47,4.2,Inimicus,japonicus,NA,fusiform / normal,demersal,37.15,NA,commercial,never/rarely,10,200,NA,29,NA,NA
Fish023,Perciformes,Platycephalidae,Platycephalus_sp._2,Platycephalus_sp._2,スズキ目,コチ科,マゴチ,734,41.55,30.34,35.945,3.7,NA,NA,NA,elongated,demersal,NA,NA,never/rarely,never/rarely,NA,NA,commercial,50,NA,NA
