effect_var,OptE
Fish001,1
Fish002,20
Fish003,1
Fish004,1
Fish005,6
Fish006,1
Fish007,1
Fish008,3
Fish009,1
Fish010,22
Fish011,1
Fish012,21
Fish013,4
Fish014,1
Fish015,12
Fish016,1
Fish017,13
Fish018,4
Fish019,1
Fish020,1
Fish021,18
Fish022,23
Fish023,1
Fish024,2
Fish025,1
Fish026,10
Fish027,1
Fish028,11
Fish029,0
Fish030,0
Fish031,24
Fish032,21
Fish033,0
Fish034,1
Fish035,1
Fish036,2
Fish037,4
Fish038,1
Fish039,1
Fish040,0
Fish041,2
Fish042,5
Fish043,1
Fish044,1
Fish045,0
Fish046,1
Fish047,2
Fish048,3
Fish049,4
Fish050,0
Fish051,0
Fish052,3
Fish053,14
Fish054,13
Fish055,20
Fish056,15
Fish057,1
Fish058,3
Fish059,2
Fish060,2
Fish061,16
Fish062,6
Fish063,13
Fish064,3
Fish065,0
Fish066,22
Fish067,3
Fish068,1
Fish069,13
Fish070,0
Fish071,17
Fish072,0
Fish073,1
Fish074,13
Fish075,20
Fish076,0
Fish077,0
Fish078,24
Fish079,1
Fish080,19
Fish081,1
Fish082,1
Fish083,0
Fish084,0
Fish085,7
Fish086,1
Fish087,0
Fish088,3
Fish089,2
Fish090,1
Fish091,16
Fish092,6
Fish093,3
Fish094,12
Fish095,7
Fish096,0
Fish097,1
Fish098,6
Fish099,3
Fish100,19
Fish101,0
Fish102,15
Fish103,0
Fish104,13
Fish105,2
Fish106,0
Fish107,3
Fish108,24
Fish109,1
Fish110,1
Fish111,3
Fish112,7
Fish113,0
