effect_var,OptE
Fish001.diff,1
Fish002.diff,1
Fish003.diff,1
Fish004.diff,1
Fish005.diff,2
Fish006.diff,1
Fish007.diff,1
Fish008.diff,2
Fish009.diff,1
Fish010.diff,2
Fish011.diff,1
Fish012.diff,17
Fish013.diff,3
Fish014.diff,1
Fish015.diff,11
Fish016.diff,1
Fish017.diff,5
Fish018.diff,3
Fish019.diff,1
Fish020.diff,1
Fish021.diff,10
Fish022.diff,22
Fish023.diff,1
Fish024.diff,2
Fish025.diff,1
Fish026.diff,6
Fish027.diff,3
Fish028.diff,1
Fish029.diff,1
Fish030.diff,1
Fish031.diff,19
Fish032.diff,21
Fish033.diff,1
Fish034.diff,1
Fish035.diff,1
Fish036.diff,1
Fish037.diff,2
Fish038.diff,4
Fish039.diff,1
Fish040.diff,1
Fish041.diff,3
Fish042.diff,2
Fish043.diff,1
Fish044.diff,1
Fish045.diff,1
Fish046.diff,2
Fish047.diff,3
Fish048.diff,2
Fish049.diff,3
Fish050.diff,1
Fish051.diff,1
Fish052.diff,1
Fish053.diff,13
Fish054.diff,3
Fish055.diff,1
Fish056.diff,4
Fish057.diff,1
Fish058.diff,6
Fish059.diff,3
Fish060.diff,1
Fish061.diff,6
Fish062.diff,1
Fish063.diff,4
Fish064.diff,2
Fish065.diff,1
Fish066.diff,5
Fish067.diff,2
Fish068.diff,1
Fish069.diff,3
Fish070.diff,1
Fish071.diff,3
Fish072.diff,1
Fish073.diff,1
Fish074.diff,1
Fish075.diff,5
Fish076.diff,1
Fish077.diff,1
Fish078.diff,14
Fish079.diff,1
Fish080.diff,21
Fish081.diff,1
Fish082.diff,1
Fish083.diff,2
Fish084.diff,1
Fish085.diff,1
Fish086.diff,2
Fish087.diff,2
Fish088.diff,1
Fish089.diff,1
Fish090.diff,1
Fish091.diff,3
Fish092.diff,4
Fish093.diff,1
Fish094.diff,10
Fish095.diff,6
Fish096.diff,1
Fish097.diff,1
Fish098.diff,1
Fish099.diff,2
Fish100.diff,16
Fish101.diff,1
Fish102.diff,5
Fish103.diff,1
Fish104.diff,1
Fish105.diff,4
Fish106.diff,1
Fish107.diff,2
Fish108.diff,24
Fish109.diff,1
Fish110.diff,1
Fish111.diff,2
Fish112.diff,2
Fish113.diff,1
